symbol,hgnc_id,num_unique_missense,num_unique_missense_vus
PKD1,HGNC:9008,464,222
BRAT1,HGNC:21701,260,217
KMT2D,HGNC:7133,596,217
MYOM1,HGNC:7613,280,217
FANCI,HGNC:25568,252,215
CEBPA,HGNC:1833,219,214
PLEKHG5,HGNC:29105,258,214
PRKAG2,HGNC:9386,252,214
SCN8A,HGNC:10596,355,214
PIGO,HGNC:23215,240,212
GALNT12,HGNC:19877,232,211
IFT140,HGNC:29077,253,210
MFN2,HGNC:16877,299,210
ELP1,HGNC:5959,252,209
SPTAN1,HGNC:11273,385,209
MYH2,HGNC:7572,232,208
CC2D2A,HGNC:29253,270,206
CTC1,HGNC:26169,242,204
ANO5,HGNC:27337,250,203
EPG5,HGNC:29331,258,203
MBD5,HGNC:20444,334,203
INF2,HGNC:23791,270,202
MEFV,HGNC:6998,247,201
TMEM43,HGNC:28472,241,201
SCN3A,HGNC:10590,223,200
AARS1,HGNC:20,225,199
DES,HGNC:2770,258,199
RANBP2,HGNC:9848,265,199
ASPM,HGNC:19048,363,198
PRDM16,HGNC:14000,241,197
DYNC2H1,HGNC:2962,271,196
EHMT1,HGNC:24650,332,196
TGFBR2,HGNC:11773,268,196
ATP7B,HGNC:870,427,195
ATRX,HGNC:886,289,193
CUBN,HGNC:2548,275,193
KCNQ2,HGNC:6296,468,192
SOS1,HGNC:11187,282,192
ABCC9,HGNC:60,223,191
SYNJ1,HGNC:11503,216,191
BAG3,HGNC:939,247,185
CDKN1B,HGNC:1785,208,185
LDB3,HGNC:15710,241,185
PNKP,HGNC:9154,228,185
DCTN1,HGNC:2711,214,184
SETD2,HGNC:18420,274,183
SLC37A4,HGNC:4061,229,181
ZFYVE26,HGNC:20761,245,181
PCDH19,HGNC:14270,347,180
NTRK1,HGNC:8031,232,179
TRPV4,HGNC:18083,241,179
MTOR,HGNC:3942,252,178
DNMT1,HGNC:2976,213,177
CDKN1C,HGNC:1786,272,176
CLCN1,HGNC:2019,277,176
TGFBR1,HGNC:11772,224,174
FKRP,HGNC:17997,238,172
PHOX2B,HGNC:9143,196,172
RP1,HGNC:10263,242,172
WWOX,HGNC:12799,199,171
ZNF469,HGNC:23216,276,171
MEGF10,HGNC:29634,189,170
CHRNA4,HGNC:1958,239,169
CHD2,HGNC:1917,298,168
CBL,HGNC:1541,205,167
LAMB2,HGNC:6487,200,167
NPHP3,HGNC:7907,204,166
TRPM4,HGNC:17993,199,166
UNC13D,HGNC:23147,195,166
VCAN,HGNC:2464,259,166
DNM2,HGNC:2974,204,163
TMEM127,HGNC:26038,191,163
TUBGCP6,HGNC:18127,197,163
PRX,HGNC:13797,182,162
HMCN1,HGNC:19194,227,160
KCNQ3,HGNC:6297,202,160
LOXHD1,HGNC:26521,235,160
NLRP12,HGNC:22938,217,160
CIITA,HGNC:7067,185,159
FRAS1,HGNC:19185,261,159
PIGN,HGNC:8967,197,159
POMT2,HGNC:19743,190,159
ABCB11,HGNC:42,213,158
GPC3,HGNC:4451,211,158
CACNA2D2,HGNC:1400,168,157
RAF1,HGNC:9829,217,157
SMAD3,HGNC:6769,221,157
RINT1,HGNC:21876,174,156
GLDC,HGNC:4313,241,155
NOTCH2,HGNC:7882,203,155
ADAMTS2,HGNC:218,194,154
JAG1,HGNC:6188,276,154
SMARCE1,HGNC:11109,163,153
SMCHD1,HGNC:29090,184,153
NPC1,HGNC:7897,307,152
SDHC,HGNC:10682,177,152
ABCC2,HGNC:53,200,151
